Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
"in the shift time a biker starts the bike without dis-locking the side bike stand .. at the point of turning their bike stand touched with the ground and make driver a zolt . because the bike speed is slow no loose or damage happened, the driver handle the bike in a proper safe way. in the next second they stop the bike, lift the stand up and start the movement.",Neglegent Driving,Driving vehicle,Carelessness,,Fouling/obstruction with hazardous element,Unstable condition,,Other Roads,,,
A bicycle kept on the back side of a moving private pick-up vehicle fell down on the road near to a pedestrian due to high speed. This could be a serious incident if the pedestrian were hurt.,High Speed,Dropped/rolling object,Poor housekeeping,,Unstable Condition,Contact with hazardous element,,Main Road,,,
Rod was projected out from road due to wearing out of concrete structure. Anybody could trip &amp; fall if not seen due to ignorance or dark.,Slip /trip /fall,Fouling/obstructing object/equipment,Poor housekeeping,,Fouling/obstruction with hazardous element,,,Main Road,1. Slip /trip /fall,1. human,1. injury
"About 10:45 AM, both vehicles were waiting for loco passing at diamond crossing. Miller was ahead of TATA Ace . Suddenly horn of Loco from another side was heard by miller driver &amp; got confused. Then he started reversing his miller .During this process its chute dashed with the front portion of TATA ace . Front glass of TATA Ace broken. No injury happened.",Vehicle Dashing,Driving vehicle,Driver error,,Decision making ability impaired ,Contact with hazardous element,,Main Road,,,
A JCB was put to clean road and improve the surface of the road after erection work by RMP. JCB was moving and opretaing to and fro on the road. A person was present within the reach and movement area of the bucket and hoe of the JCB and JCB was moving in 360 degree direction.,Carelessness,Driving vehicle,Pedestrian error,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Vehicle movement,Collision,Human,Injury
A person was trying to tie wire rope with return spool cage to lift it &amp; the cage started to topple down. Somehow the person balanced himself &amp; the cage.,Carelessness,Dropped/rolling object,Carelessness,,Unstable Condition,,,Falling object,Fall,Human,Injury
two vehicles travelling in opposite direction were about to collide due to blind curve.,Poor design,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,Collision,Human,Injury
Mrs. wade from EMD was walking towards canteen suddenely the branch of Nilgiri ( Ucaliptus ) tree fallen down on road. Fortunately No one injured.,Branch snap,Tree/branch,Falling objects,,Detachment of hazardous element,,,Falling object,Fall,Human,Injury
"On 11-04-2017, at around 1930 Hrs. a loaded truck bearing registration number of M/s S Transport hits the pedestrian guard rail of TWP-1 while reversing the truck at the time of exit. No Injury to any person but found minor damage to the pedestrian guard rail. ",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,,,
"While going towards plant form the pathway made near assembly point , Struggling to get off the road as the foot nearly hit to the plates which are provided on the pathway which are came out at many points.",Poor Road Condition,Road,Improper maintenance,,Unstable Condition,,,Other Roads,,,
"during our patrolling near gedei lease area the wild bushes came into the main rod which will cause damge to our eye ,vehicle as the branch  were came on the main road .As after the rain season those brances were elongeted and came direct to contact with our vehicle as well as to our foot patrolling staff. We had made our team to clear those brances which will cause such problem.those patrolling team were identify those area where such things were found and cleared by our team.",Obstructing/haphazardly placed objects,Tree/branch,Poor housekeeping,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Other Roads,Collision,"Human, property",1. injury 2. property damage
"While walking along the die shop area , the branch of tree new the front  side of garden fell apart in front , but fate did not hurt anything.",Branch snap,Tree/branch,Falling objects,,Detachment of hazardous element,,,Main Road,1. hitting,1. human ,1.injury
"An road accident chance occurred  when the two wheeler turned on a road junction and the four wheeler came from other side it was happened when the biker move through the shopping complex side to the road junction ( near sahoo shop  )  and a small four wheeler came from other side trying to come in the same road.  Both driver did not signals and starts moving, The corner side of the road have a sharp turning and uneven surface. The road are is just adjacent with the drainage.  the biker was trap in that road  turning. The four wheeler reverse their car and give space to the biker to let go safely.  The bike dis-balanced and about to toppled, but the coordination of car driver the biker move safe and prevent an accident to happenedNo injury and damage observe, it was just a save otherwise that may cause an injury. Observation comes from NIS Supervisor Mr. Bagh",Neglegent Driving,Unbalanced vehicle,Miscommunication,,Inability to deploy safety systems,Trapped in field of hazardous element,,Other Roads,1. collision,1. human 2. property,1. injury 2. property damage
"An road accident chance occurred when the two wheeler is just save from collision with  another two wheeler at the junction point inside the colony. That happened when the biker move through the shopping complex side to the road junction (near  Bhat Mishra circle)  with a pillion rider. They ride the bike with normal speed at the time of right turn the sudden two wheeler came from other side. At that time both surprised and apply the sudden break. The bike dis balanced and about to toppled, the biker apply their sense and support their bike with their legs. And save themselves No injury and damage observe, it was just a save otherwise that may cause a serious injury. ",Neglegent Driving,Unbalanced vehicle,Miscommunication,,Improper deployment of safety systems,Unstable condition,,Other Roads,1. collision,1. human 2. property,1. injury 2. property damage
"Me &amp; Ravi Kumar was going to Kurgoan colony by bike to attend the Su-sambad meeting suddenly one car was dash to mybikefrom back side. thank god we safe , but my bike was unbalanced we could n&#39;t slip , ",Vehicle Dashing,Unbalanced vehicle,Driver error,,Contact with hazardous element,Unstable condition,,Main Road,1. collision,1. human 2. property,1. injury 2. property damage
The 5T forklift back left side tyre came out in running.,Poor Vehicle condition,Damaged equipment/road,Malfunctioning equipment,,Detachment of hazardous element,,,Other Roads,Falling vehicle,1. human 2. property,1. injury 2. property damage
"I was going to 2 Incline from 2 Pit to 2 Incline, while going to 2 incline my motor cycle was unbalance due to lots of pebble on kacha road and poor condition of road.",Poor Road Condition,Road,Poor housekeeping,,Unstable Condition,,,Other Roads,Fall,1. human 2. property,1. injury 2. property damage
"A Trailer loaded with bundle stand of pipe rack system, loaded from TGS and was supposed to deliver at IM-section warehouse. The trailer entered through HSM gate and near the traffic signal. Its lashing arrangement failed and some material fell on road. It took place on the middle of the road making the road movement difficult. Later vehicle entry was made through the exit side road to control the congestion.No any injury",Poor lashing,Dropped/rolling object,Improper loading/lashing,,Fouling/obstruction with hazardous element,,,Main Road,1. collision,1. property,1. property damage
Road vacuum clear was in operation on the side gate of canteen gate. in course back side bumper touched with  side barrication  of the road. No damage done.,Vehicle Dashing,Structure/shed/building,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,Collision,1. property,1. property damage
When I was driving on the route one bike was suddenly entered from opposite side and i had to stop my bike immediately which results slipping. ,Neglegent Driving,Unbalanced vehicle,Driver error,,Improper deployment of safety systems,Unstable condition,,Other Roads,,,
"RCC road is not there in front of ETP area, Murom filling done but levelling not done properly. While a to z contractor worker crossed the road he got unbalanced due to collision with uneven murom filling. ",Poor Road Condition,Road,Improper maintenance,,Unstable Condition,,,Main Road,,,
"The Ambulance regn no send to K Hospital, Bhubaneswar on dtd 7th Aug. 2017. Sri Govind Karua,P.no-196239 was  driving  the Ambulance .The Vehicle left   from K Hospital, Bhubaneswar   at 7.45 p.m. on same day.At about 11.30 p.m. near Chadheidhara a line truck hit the rear right side bumper which was shown in the photograph attached and the bumper was opened.",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Vehicle movement,,,
"When I was going to the HT Room from Mechanical Maintenance workshop then suddenly my right leg got entangled in something, ",Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Poor housekeeping,,Fouling/obstruction with hazardous element,,,Entanglement,,,
While marching of crawler crane operator couldn&#39;t judge the clearances between bottom of gallery &amp; boom length of crane. Resultant boom touches the cable tray which was passing through G-2 gallery. There was no cable laid on tray.,Neglegent Driving,Driving vehicle,Improper assessment of situation,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Vehicle movement,,,
RC Drilling contract workers four wheeler camper shortly missed the collision with one two wheeler bike because of invisibility for both the vehicles )covered by another parking four wheeler) ,Vehicle Dashing,Driving vehicle,Visibility/lighting issue,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,1. vehicle dashing,1. human 2. property,1. injury 2. property damage
I was just going admin building one tree was tied with rope in front of Medical room. I just got save from stuck with that rope.,Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Poor housekeeping,,Fouling/obstruction with hazardous element,,,Collision,Collision,1. human ,1. injury
"I was going to washroom suddenly my foot slip, I just got save from falling. ",Slippary Pathway,Slippery surface,Poor housekeeping,,Contact with hazardous element,Unstable condition,,Other Roads,1. slipping 2. fallen down,1. human ,1. injury
mud is spread on the the road in font of etp so worker slipped ,Obstructing/haphazardly placed objects,Slippery surface,Poor housekeeping,,Contact with hazardous element,Unstable condition,,Other Roads,1. slipping 2. fallen down,1. human ,1. injury
we are going on scrap yard near s s way back side road we are slip because wire on shop floor,Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Poor housekeeping,,Fouling/obstruction with hazardous element,Unstable condition,,Other Roads,1. entangled 2. fallen down,1. human ,1. injury
"I was going to time office, my foot suddenly felt into the pit in-front of RO system road. I just got saved from falling.",Slip /trip /fall,Pit/ditch,Poor housekeeping,,Fouling/obstruction with hazardous element,Unstable condition,,Main Road,,,
Mud is spread in front of etp  area so worker slipped ,Obstructing/haphazardly placed objects,Slippery surface,Poor housekeeping,,Contact with hazardous element,Unstable condition,,Other Roads,1. slipping 2. fallen down,1. human ,1. injury
"incident reported by Mr. Amit Mohanty (M/s SP).After loading of cement bags from old shed, one dumper (M/s T) wasmoving towards Main gate of IM Section. Back shutter was not closed for security inspection purpose &amp; as distance of loading site &amp; main gate was around 30-40 Mtrs. While moving 3 nos. of cement bags slipped from vehicle &amp; fell on the ground on empty road. No material damage or injury happened as speed of the vehicle was very slow.",Poor lashing,Dropped/rolling object,Improper loading/lashing,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Other Roads,Collision,1. human 2. property,1. injury 2. property damage
"Only way is being used for travelling. And near the parking area due to blind curve, two bikes were about to collide. Since there were some persons there so this incident didn&#39;t occur , also both drivers were travelling with slow speed.",Blind curve,Driving vehicle,Visibility/lighting issue,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,1. collision,1. human 2. property,1. injury 2. property damage
when  worker was going suddenly leg slipped  ,Carelessness,Slippery surface,Poor housekeeping,,Unstable Condition,,,Other Roads,,,
loose wire lying on the road ,Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Poor housekeeping,,Fouling/obstruction with hazardous element,,,Other Roads,1. slipping,1. human 2. property,1. injury 2. property damage
I prevented myself from directly dashing to a standing loaded truck.,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,1. dashing,1. human 2. property,1. injury 2. property damage
"My car engine stopped while crossing two speed breakers, and as I started the engine again, my car slightly reversed and hit another car of omQ Senior Manager Mining. Small dents and scratches were observed in my car back door.",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,,,
Persons were erecting covered wire for taking the power supply and wire was hanging on the road crossing. I was driving the vehicle and stopped before the wire area. Persons made the wire tightened and then I went away from this place. ,Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Carelessness,,Fouling/obstruction with hazardous element,Inability to deploy safety systems,,Other Roads,1. dashing,1. human,1. injury 
"A miller filled with concrete moving from Tarapoor batching plant to RLS 3 for concreting purpose. while loaded miller cross the barier and likely to make the turn for RLS -3 , extended portion of miller ie plate form attach for cleaning purpose of miller just touched the pole which is just at the edge of divider.",Neglegent Driving,Driving vehicle,Driver error,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Main Road,,,
At 6:30 PM one trailer carrying Light mast got struck in the overhead cable and pulled it. During this course of action the communication tower adjacent to the line got bend and laid on the ground.,Neglegent Driving,Wire/cable,Improper assessment of situation,,Fouling/obstruction with hazardous element,,,Other Roads,,,
"On 06. 04.18 driver name Anil Kumar Rawani, vehicle number-YYYY was engage for loading &amp; unloading of excavated soil removed from drain excavation job. After loading of excavated soil was done near MCC building by JCB the dumper move toward unloading place, near  the unloading place the dumper raise his dump body and during putting down its dump body the vehicle move in front and its dump body got touched with the 3.3Kv overhead line .And suddenly the power got tripped from 10 MW substation.",Neglegent Driving,Wire/cable,Improper assessment of situation,,Contact with hazardous element,,,Other Roads,,,
"A crane coming from SP#2 &amp; going to I furnace for loading purpose. This crane was working under E&amp;P. During this process the hose pipe of hydraulic oil leakage from coke plant drop gate to L Town gate through out. The leakage was from the ferrule joint of hose pipe.Mr.Tiwary was coming from JNVTI &amp; going to training shop Inside  SNTI. NEAR WPFA Turning due to hydraulic oil leakage ,his bike got skidded on the road, he fell down on road. He got injured.He came to WPFA. INJURY- ABRATION ON EXTERNAL SURFACE OF Right ELBOW.At L Town gate driver  Mr. Sandeep kumar  of M/S Manpreet engg &amp; co saw the oil leakage from crane. Then he parked his crane side of SBI ATM",Poor Vehicle condition,Slippery surface,Improper maintenance,,Unstable Condition,,,Main Road,,,
"Car of M/s VXY Pvt. Ltd. Was coming from WGO  &amp; had to go WRP for site visit. When it reached near LD # 3 traffic signal, signal was red, so he parked the car in queue for waiting green signal for left turning queue. When signal change red to green for straight &amp; right side. Truck of M/s XY truck operation union which had to right side but driver was in left queue, so he start reversing to make space for right turn. During reversing it hit  the said car which was in left turning queue. In this process front bonnet of the car got slight damaged. No Any injury. After dashing driver of truck fled away from site",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,,,
"Dumper loaded with sand with excavated soil at â??I â?? Bl. Fce. hadto go to pellet plant track hopper # 4 for unloading for levellingpurpose. When it reached in-front of pellet plant new officebuilding, it hit the parked trailer of Kunkal Enterprise bearing #CG04JB4312 &amp; NL02N0925 which were loaded with pipes. Thedumper hit the parked trailer # CG04JB4312 at rear back side .The hyva dumper hit from its right front (driver side) to theparked trailer.Driver got injured and trapped in cabin and escaped by firebrigade team at 5.10am and sent to west plant first aid stationand after first aid referred to TMH emergency",Neglegent Driving,Driving vehicle,Driver error,,Contact with hazardous element,,,Main Road,,,
"PCC road is being constructed in our Digwadih colliery . A contractor labour was transporting cement in his back for making mixture of cement , sand and cheap stone. While he was transporting the cement it left from his hand. No injury occurred . Counselling done.",Carelessness,Dropped/rolling object,Carelessness,,Contact with hazardous element,,,Other Roads,,,
One person was crossing the road in Zebra crossing a bike came on high speed and that person was about to hit but he ran away and saved him self.,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,1. hitting ,1. human,1. injury
while entering towards colliery from putki road there is uneven surface where bike got disbalanced,Poor Road Condition,Road,Poor housekeeping,,Unstable Condition,,,Main Road,,,
"Dumper loaded with Quartzite stone , was coming from  JMD Gate &amp; going towards RMM stockyard. Near RMM stockyard road , inorder to go to the 100T weighbridge, the dumper was reversing .A Bus of L&amp; T loaded with passengers and going towards Coke plant (project) was also on the way . The rear left portion of the dumper dashed to the middle of the right side of bus. Three persons of L&amp;T got minor injuryFA:. Name- Samiran Nandi  G.p.no- TSP/ 644925/1216 Design- Asst manager  Injury- contusion RT hand medical boarder &amp; RT wrist Name-.S Mohammad farooq G.p.no- TSP/703257/0217 Design- Asst managerInjury- Alleged fb RT Eye, abrasion RT lid eye.Name-Atma ram duan G.P.No- TSP/619802/1216 DESIG- asst managerInjury- alleged contusion RT side of head 7 ab ration on rt Hand d",Vehicle Dashing,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,,,
Sudden power breakdown in the area near the Bhowrah gate lead to darkening of the area for couple of hours.Trucks standing for entry into the gate were moving in dark which could have caused collisison of truck with structures and other trucks.,Vehicle Dashing,Driving vehicle,Visibility/lighting issue,,Decision making ability impaired ,Contact with hazardous element,,Main Road,1. collision,1. human 2. property,1. injury 2. property damage
During welding job L&amp;T has been place the man lifter for welding job in VIP road. But they are not assess that the drop gate may foul with the boom of the man lifter during downing of drop gate.  But when goods train has come the drop gate is fouling with the boom of the man lifter,Fouling,Fouling/obstructing object/equipment,Improper assessment of situation,,Fouling/obstruction with hazardous element,,,Main Road,,,
Brief-the car of M.N.Dastur was coming from LD#1 main office by dropping a person &amp; going towards outside office. He was standing at red signal at the LD#1 Traffic signal. The lime tanker was also behind this car. When  signal got green car start to move &amp; lime tanker also moving. But the car  took sudden brake  to saw the red signal. The lime tanker also took sudden brake but  due to weight of lime tanker it could not stop suddenly &amp; dashed with the rear side of the car. Car rear side glass broken &amp; rear side body damage. No any injury.,Vehicle Dashing,Driving vehicle,SOP violation,,Improper deployment of safety systems,Contact with hazardous element,,Main Road,,,
While reversing car from shed for going out side the car reverse wheel strike over unidentified civil debris which was closer to car shed area. Immediately car was stopped moved forward and than turn it for moving out side.,Obstructing/haphazardly placed objects,Driving vehicle,Poor housekeeping,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Other Roads,,,
Report received from security area patroling team that some garbage and flamable material were dumped by outsider in Sagwan pit area which may lead to bush fire incident .,Obstructing/haphazardly placed objects,Flammable material,Poor housekeeping,,Ignition,,,Other Roads,1. fire ,1. property,1. property damage
"Due to poor road condition , one of our employee , Mr .S N Sahoo was just escaped from an road accident  , when he was going by motor cycle  to attain some maintenance job  at  Water Treatment Plant . Please find a photograph of road ",Poor Road Condition,Road,Improper maintenance,,Hazardous element out of control,,,Other Roads,1. vehicle dashing,1. human 2. property,1. injury 2. property damage
Due to strong winds a branch of Tree fell on road. Due to this a part of chain link fencing got damaged.  further it obstructed the road which was cleared by Security Team. ,Branch snap,Tree/branch,Falling objects,,Detachment of hazardous element,,,Main Road,1. collision,1. human 2. property,1. injury 2. property damage
The workers working in the clean coal bunker area for the RMP related job have bye-passed thye barricading in the paedestrian pathway of the HRT 1 area to get to cross the road which causes condition of man machine interface due to continual movement of the vehicles from the 406 area,Rule violation,Fouling/obstructing object/equipment,SOP violation,,Bypass of safety systems,Fouling/obstruction with hazardous element,,Other Roads,1. collsiion,1. human 2. property,1. injury 2. property damage
The morning school bus got struck after the security guards and bus helper reverse the bus to clear it from that position. The school picking bus come regularly as a routine to pick and drop school boy to marked place. improper way parking two car adjacent the road side. instruct guard to check and direct the car if both are parked both side of the road ,Neglegent Driving,Driving vehicle,Driver error,,Fouling/obstruction with hazardous element,,,Other Roads,1. vehicle dashing,1. property,1. property damage
"An Outsider cyclist visited the Colony Bank. In the way to colony bank he driven the cycle single handed along with carrying some documents in other hand. .. at the point of junction he wants to stopped but  when he about  to stop the fail to apply proper brake  he loose their control.... he about to fall, meanwhile the  scooter driver hold them and save them to collides with other parking vehicle.",Neglegent Driving,Unbalanced vehicle,Driver error,SOP violation,Unstable Condition,,,Other Roads,,,
"A speed breaker is provided at road beside  VTC centre near Gouidungri village to control the vehicle speed to enter into the village. The road is used by both employees &amp; out siders for local movement. Due to rainy session, water is accumulated at beside the speed breaker &amp; wet position exist. One of the out sider going on his way, he try to bypass the speed breaker by moving beside the corner of the breaker, due to wet position the bike was slipped &amp; hit the wall. In the mean while the person adjust himself &amp; came with out injury, but the bike was damaged slightly.",Slippary Pathway,Slippery surface,Poor housekeeping,,Bypass of safety systems,Contact with hazardous element,,Other Roads,,,
"Mr Binod Shrestha is a senior shovel operator of M/s XY. . He had severe pain in his head.He was crossing the haul road to enter into the Atwal premises. During the road crossing, he felt very uneasy and possibility to fell down but however he managed to save himself from fell down and security guard also helped him. No injury to him.",Medical ailment,Sickness,,,Medical condition,,,Main Road,,,
in the evening time one contactor is walking in the pathway near the cell cooling is just slip/trip/fall. due to uneven surface in the pathway,Poor Road Condition,Road,Improper maintenance,,Contact with hazardous element,Unstable condition,,Other Roads,,,
Loading was being done on road by payloader. The dumper hit the divider with the wheel.,Neglegent Driving,Driving vehicle,Driver error,,Contact with hazardous element,,,Main Road,,,
The company hired vehicle was taking reverse and in the mean time a public bike which was in very high speed cross the road. The collision was about to happen but fortunately the four wheeler driver made break immediately.,Vehicle Dashing,Driving vehicle,Driver error,,Contact with hazardous element,,,Main Road,1. vehicle dashing,1. property,1. property damage
"Over speeding private vehicle nearly missed dashing a reversing vehicle, ignoring reverse buzzer of the vehicle and even indicators blinkers",Neglegent Driving,Driving vehicle,Driver error,SOP violation,Bypass of safety systems,Contact with hazardous element,,Main Road,1. vehicle dashing,1. property,1. property damage
"Pick up van of Jemco kati core drilling  was carrying long iron pipes keeping it vertically ,touched and impacted the security barrier boom of security main gate,Bichakundi .",Neglegent Driving,Driving vehicle,Improper assessment of situation,,Fouling/obstruction with hazardous element,,,Main Road,,,
"On 31.12.2017 , 6:18 am Vehicle Number YYYY, carrying BCCL Coal from Chaitudih Colliery of BCCL, and driven by Mr. Murari Prasad Singh, S/O- Shri Sital Prasad Singh, with driving license no. 57232/15/OD valid upto 17.09.2018, unloaded the raw coal from 2nd tippler and after dumping he did not lower the dump body properly and struck the overhead barrier post and damaged it badly. The post got stuck up into the dump body hook.",Carelessness,Driving vehicle,Improper assessment of situation,Carelessness,Fouling/obstruction with hazardous element,,,Other Roads,,,
"Dewatering pipeline &amp; cable laying job is continue at Khondbond manganese mines along with dozing activity nearby shorting yard of KMM.Heavy loose bolders were kept at the boarder of dump top,which needs to be cleaned with dozer before 5th september 2017 as satatutary (IBM) requirement.Large amount of bolders fell-down while dozing on the dewatering pipeline &amp; power cable. Around 15 meters of dewatering power cable  got puctured &amp; 3- GI pipe flanges got damaged with the edge of heavy bolders.After this incident electrical team have checked the condition of cable &amp; found 200-meters of cable faulty which needs to be re-layed or re-joined.GI pipes were re-welded.",Obstructing/haphazardly placed objects,Dropped/rolling object,Poor housekeeping,,Contact with hazardous element,,,Open Cast - Operations,,,
"TP shifting was being done form PH stock are to 5-pit area. Near the PTS area besides the Switch room, A ramp for RMP&#39;s crane was bein prepared by Pocklain, the road had become narrow. The dumper while turning from Weighbridge side towards 5-pit got tilted at the turning point. Then It was straightened using th pocklain present at the site. Immediately, i got the road widened and got the surface evened, by using the pocklain.",Poor Road Condition,Road,Driver error,,Unstable Condition,,,Main Road,1. vehicle got tilted at turning point,1. human 2. property,1. injury 2. property damage
"Due to one way, Two bikes were going to collide from opposite sides. However both had applied brake in correct time and no one was harmed.",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,1. collision ,1. human 2. property,1. injury 2. property damage
One motor cycle missed to dash other at the turning,Vehicle Dashing,Driving vehicle,Driver error,,Decision making ability impaired ,Contact with hazardous element,,Other Roads,1. vehicle dashing,1. human 2. property,1. injury 2. property damage
"While one car was comming out from parking , suddenly a bike came from seperate route and missed a collision. ",Vehicle Dashing,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,1. vehicle dashing,1. human 2. property,1. injury 2. property damage
A car was moving at high speed and due to poor road condition it was about to crash a bike. But fortunately accident didn&#39;t occur.,Neglegent Driving,Driving vehicle,Driver error,Improper maintenance,Inability to deploy safety systems,Contact with hazardous element,,Main Road,1. vehicle dashing,1. human 2. property,1. injury 2. property damage
While taking out bike from the parking an employee&#39;s bike skidded in an unusual manner but no harm happened due to employees,Slippary Pathway,Slippery surface,Poor housekeeping,,Unstable Condition,Contact with hazardous element,,Other Roads,,1. property,1. property damage
"Speed breaker is uneven, lot of dust in area, unmaintained road",Poor Road Condition,Damaged equipment/road,Poor housekeeping,Improper maintenance,Fouling/obstruction with hazardous element,,,Main Road,1. Slip /trip /fall,1. human 2. property,1. injury 2. property damage
Due to Bad road condition a bike got slipped but because of slower speed he managed to retain his balance.,Poor Road Condition,Unbalanced vehicle,Improper maintenance,,Unstable Condition,,,Other Roads,1. slipping,1. human 2. property,1. injury 2. property damage
Due to bad road condition a bike lost his balance but since travelling with slower speed he managed his balance.,Poor Road Condition,Unbalanced vehicle,Improper maintenance,,Unstable Condition,Contact with hazardous element,,Other Roads,1. slipping,1. human 2. property,1. injury 2. property damage
"There is sand deposit,in this concrete road,when i coming through 2 wheeler,there are 2 turns in this road,in this turns sands deposit,its makes a slippery path .",Obstructing/haphazardly placed objects,Slippery surface,Poor housekeeping,,Unstable Condition,Contact with hazardous element,,Main Road,1. slipping,1. human 2. property,1. injury 2. property damage
While coming to duty one byke come closer to my car but somehow hw saved himself,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,1. hitting,1. human ,1. injury
"When I was going to 2 incline from 2 pit by car, a motor cycle rider over take my car through wrong side and passed very close of my car. I show him suddenly and  stopped the car. ",Neglegent Driving,Driving vehicle,Driver error,,Bypass of safety systems,Contact with hazardous element,,Main Road,1. vehicle dashing,1. property,1. property damage
"When I was going to 2 incline, near incline my motor cycle rolled over a bolder which was kept on PCC road but save my self.",Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Poor housekeeping,,Fouling/obstruction with hazardous element,Unstable condition,Contact with hazardous element,Other Roads,1. collision,1. human 2. property,1. injury 2. property damage
While going out of office one byke came just in front of the car but somehow he saved himself,Vehicle Dashing,Driving vehicle,Driver error,,Contact with hazardous element,,,Other Roads,1. collision,1. human 2. property,1. injury 2. property damage
"Sri Dinesh Kumar  Chauhan ,Electromechanical , P.No-219247,was coming to duty in A shift ,when his two wheeler skid on the road to 2 incline the small culvert and he fell down. He complained pain on his left leg. No external injury was visible. He was sent to TCH on ambulance where the doctor attended him, X-ray revealed no facture. Ultrasonography was conducted ,doctor is suspecting injury of tendon near the heel of left leg. his case has been referred to TMH JSR",Neglegent Driving,Unbalanced vehicle,Driver error,,Unstable Condition,Contact with hazardous element,,Other Roads,,,
"On 28.03.2018 at 10:05am the water sprinkling tanker (JH12B 8162, Drive - Jahiruudin) was sprinkling the haul road near rejection gate during which one of the IBMD passenger vehicle (TATA Sumo- YYYY) arrived at gate. Few personal came out the vehicle after stopping of vehicle near security check post to get stock of by-products. While they were discussing about situation the security personal observed that the tanker was reversing with blowing of back horn, he noticed and anticipated that the tanker may hit the sumo he raised alarm and the driver blow the horn but tanker operator did not notice and make slight contact with the vehicle back portion on right side. On collision, he realized and stopped the vehicle. On information team from JCPP visited the site and conducted preliminary investigation.",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,,,
"As on  28.3.2018 at around 9:45 am ,IBMD Dept Sumo vehicle-  (M/S XY)  reached Bhowrah Gate to drop IBMD officers for duty inside the plant. While vehicle was  standing  at the gate for dropping them ,the water sprinkler tanker of M/S XY  dashes the back side of Sumo vehicle while reversing at the gate. Though the back horn indicator of the tanker  was  buzzing but driver of the tanker vehicle not observing the back side with looking glass. No persons injured  during this near miss but the back side body of Sumo got scratched.",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,,,Main Road,,,
"WHILE THE TDP MATERIAL LOADED TRUCK WAS ASCENDING IN THE REJECTION GATE AREA,A TRUCK CAME DOWN FRom THE RJECTION GATE AND RMP LMV ALSO CAME AT THE SAME POINT MAKING A HAZARDOUS CONDITION FOR ALL OF THEM TO PASS THROUGH THE AREA HAVING ROAD WIDTH CONSTRAINT",Poor Road Condition,Driving vehicle,Driver error,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Main Road,,,
"A pit was dug by the RMP. It was being filled up and in the process, the berm made towards the haul road side was also cleared and filled into the pit. the pit was still not completely filled making the area prone to hazard of vehicle toppling as continuous vhicle movement takes place in the area.",Poor Road Condition,Pit/ditch,Poor housekeeping,,Falling in hazardous element zone ,,,Other Roads,1. toppling,1. property 2. human,1. property damage 2. injury
A truck was coming down from weighbridge after weighment was done. While coming down it hit the railing besides the road.,Neglegent Driving,Driving vehicle,Driver error,,Decision making ability impaired ,Inability to deploy safety systems,Contact with hazardous element,Main Road,,,
"Loading for retail sale was going on in the steel yard area but for weight adjusting the loading was being done by payloader on the road from Juta gate to Weighbridge. In this process, the truck was moving even above the divider made between the road making the situation very unsafe.",Neglegent Driving,Driving vehicle,Driver error,,,Trapped in field of hazardous element,,Main Road,,,
